ID,First_Name,Last_Name,DOB (mm/dd/yyyy),Sex,SSN,Age,PhoneNumber,Street,House/Apt_Number,City,State,Zip_Coce,Employee_ID,Room_ID
P10001,Jimse,Schneider,1/10/1942,Female,427025696,79,2025550394,71 E. Amherst Court,Uint 23,Lake Worth,FL,33467,1010,r-0001
P10002,John,Smyth,12/19/1942,Female,768565039,78,2025550235,581 Sherman St.,Apt A,Fort Lauderdale,FL,33322,1011,r-0005
P10003,Chris,Campos,5/17/1946,Female,267456002,75,2025550300,9495 State St.,,Miami,FL,33175,1012,r-0003
P10004,Chritina,Woods,5/7/1947,Male,267269863,74,2025550540,8816 Cherry Hill Dr.,25333,Hollywood,FL,33020,1013,r-0004
P10005,Rebaca,Little,8/29/1948,Other,589207964,72,2025550639,508 South Woodside Drive,#14,Jacksonville,FL,32205,1014,r-0002
P10006,Jerry,Guzman,2/13/1949,Male,263886252,72,2025550604,1 Garfield Drive,,Jacksonville,FL,32246,1015,r-0001
P10007,Mason,Joyce,7/18/1950,Female,770284339,70,2025550260,97 Hudson Dr.,644,Orlando,FL,32825,1016,r-0010
P10008,Evelyn,Acosta,9/20/1950,Female,264731635,70,2025550870,26 George Dr.,23,Orlando,FL,32810,1017,r-0008
P10009,Ella,Hooper,9/23/1950,Male,267618989,70,2025550555,76 Somerset Rd.,,Jacksonville,FL,32211,1018,r-0003
P10010,Jackson,Chandler,11/21/1954,Other,595014014,66,2025550904,98 Valley Farms Ave.,,Miami,FL,33193,1019,r-0002
P10011,Avery,Hodges,8/19/1957,Male,771542947,63,2025550430,31 Mill St.,,Opa Locka,FL,33056,1020,r-0001
P10012,Jack,Pratt,6/1/1959,Female,261111257,62,2025550004,1 Roosevelt Street,,Miami,FL,33177,1021,r-0004
P10013,Scarlett,Howell,11/5/1966,Female,593332084,54,2025550570,302 Shub Farm Court,,Hialeah,FL,33015,1022,r-0006
P10014,Adelyn,Ali,3/20/1971,Male,768032137,50,2025550899,6 Sutor Street,3433,Bradenton,FL,34205,1023,r-0002
P10015,Adie,James,10/20/1971,Male,266799482,49,2025550740,26 Elm St.,644,Apopka,FL,32703,1024,r-0003
P10016,Adkins,Stuart,6/17/1973,Female,264571175,47,2025550168,7617 NE. King Ave.,,Miami,FL,33196,1025,r-0002
P10017,Faber,Watts,4/28/1976,Male,594574298,45,2025550021,7146 Bay Lane,,Homestead,FL,33033,1026,r-0006
P10018,Fabiano,Mcdaniel,1/8/1978,Other,594389467,43,2025550006,664 Tailwater Rd.,25333,Pompano Beach,FL,33071,1027,r-0002
P10019,Aggie,Shah,8/3/1980,Male,267838262,40,2025550909,7270 Beaver Ridge St.,,Deltona,FL,32725,1022,r-0001
P10020,Agnew,Osborne,12/18/1983,Female,766445720,37,2025550339,367 Walnutwood Road,3433,Tampa,FL,33612,1029,r-0011
P10021,Pabla,Todd,7/9/1990,Male,262935480,30,2025550097,963 Rosewood Ave.,,Miami Beach,FL,33141,1011,r-0007
P10022,Pablo,Li,2/17/1992,Other,592504016,29,2025550155,60 Sutor Rd.,23,Miami,FL,33125,1012,r-0003
P10023,Maaike,Montgomery,5/23/1994,Female,766389077,27,2025550639,4 Alton Drive,,Leesburg,FL,34748,1013,r-0010
P10024,Qabil,Patterson,4/27/1997,Male,263722562,24,2025550297,1 Bayberry Drive,,Orlando,FL,32837,1022,r-0001
P10025,Qays,Blair,1/28/1999,Other,261521493,22,5748427684,66 Cherry Dr.,3433,Fort Lauderdale,FL,33317,1023,r-0007
P10026,Qi,Lawson,3/1/1940,Female,264158238,81,3098514220,87 Academy Dr.,,Clermont,FL,34711,1024,r-0001
P10027,Mab,Coleman,12/22/1942,Male,767384698,78,3132881760,337 Overlook Drive,23,Hialeah,FL,33016,1025,r-0009
P10028,Tabassum,Park,2/23/1944,Male,595569004,77,5023506311,91 Rocky River St.,,Bradenton,FL,34209,1010,r-0004
P10029,Tabby,Millar,6/14/1945,Other,766621943,75,2025550631,8 SW. College Ave.,Apt 2,Miami,FL,33176,1022,r-0003
P10030,Taber,Owen,12/31/1945,Female,767488271,75,2025550831,491 North Tallwood St.,,Hollywood,FL,33025,1012,r-0010
P10031,Dabney,Marshall,9/12/1946,Female,768165957,74,2025550499,366 Smoky Hollow St.,,North Miami Beach,FL,33160,1013,r-0003
P10032,Dacey,Stone,9/14/1948,Female,589546539,72,2025550438,160 Branch Lane,,Stuart,FL,34997,1010,r-0009
P10033,Dacia,Yates,4/24/1950,Male,264276431,71,2025550179,450 Orange Lane,,Orlando,FL,32835,1022,r-0010
P10034,Daemyn,Drake,11/26/1953,Male,590900266,67,2025550100,9336 Old Glen Eagles Street,,Port Charlotte,FL,33952,1012,r-0002
P10035,Tabitha,Griffin,3/4/1955,Male,591849703,66,2025550131,1 Illinois St.,,Tallahassee,FL,32308,1013,r-0010
P10036,Tablita,Johnston,6/7/1955,Other,594891414,66,2025550136,5 S. Iroquois St.,644,Tampa,FL,33615,1023,r-0004
P10037,Pacay,Bass,12/14/1957,Male,593837861,63,2025550187,444 Queen Lane,23,Orlando,FL,32839,1024,r-0002
P10038,Xaila,Pierce,11/29/1967,Female,595554960,53,2025550137,296 Princeton Ave.,,West Palm Beach,FL,33415,1025,r-0003
P10039,Xakery,Coates,8/16/1971,Female,266457469,49,8104108800,576 SW. Eagle Court,Apt 2,Orlando,FL,32822,1011,r-0001
P10040,Waapalaa,Cook,6/10/1972,Female,262476631,48,5034952957,9453 N. Swanson Drive,,Hollywood,FL,33029,1012,r-0002
P10041,Wabanang,Newton,10/24/1973,Other,766466690,47,8027252546,91 E. Oxford St.,,Bradenton,FL,34208,1013,r-0007
P10042,Wachiwi,Banks,6/8/1978,Male,766864372,42,2153168787,250 Kirkland Drive,,Miami,FL,33161,1011,r-0001
P10043,Wade,Paul,5/29/1979,Male,264726878,42,3145856329,950 Clay Avenue,Uint 1,Jacksonville,FL,32224,1012,r-0004
P10044,Xander,Goodman,5/30/1979,Male,261911715,42,5103548118,36 East Blackburn Street,,Tallahassee,FL,32310,1013,r-0004
